
,aX,aY,aZ,roll,pitch,yaw
0,-0.1179117911791179,0.0675067506750675,0.6550387596899225,0.10183548606390211,-0.15423548215237082,-0.4612165595576147
1,-0.09570957095709572,0.03930393039303931,0.6512964448008554,0.06145479265805574,-0.1643580181140117,-0.4332685697205201
2,-0.07550755075507551,0.030203020302030203,0.6428762363004545,0.06145479265805574,-0.1643580181140117,-0.4332685697205201
3,-0.07550755075507551,0.030203020302030203,0.6428762363004545,0.05261726716519375,-0.12613212573255195,-0.4081602152144672
4,-0.0017001700170017004,0.03860386038603861,0.6400695001336542,0.05710401087695446,-0.005727224294086308,-0.38006277088626517
5,0.07480748074807482,0.006500650065006501,0.5882117080994387,0.05710401087695446,-0.005727224294086308,-0.38006277088626517
6,0.07480748074807482,0.006500650065006501,0.5882117080994387,0.014276002719238614,0.10375599360681939,-0.3056344343147512
7,-0.04390439043904391,-0.07920792079207921,0.5763164929163326,-0.11801495581237254,-0.05087906233351092,-0.17755193543565986
8,-0.49944994499449946,-0.20182018201820182,0.5763164929163326,-0.11801495581237254,-0.05087906233351092,-0.17755193543565986
9,-0.49944994499449946,-0.20182018201820182,0.7711841753541835,-0.22664853840924545,-0.5435535428875866,-0.06620833956060379
10,-0.8764876487648765,-0.4581458145814582,0.9394546912590218,-0.4285520054384772,-0.7111081513052744,-0.08593633238678823
11,-1.0,-0.826882688268827,0.9394546912590218,-0.4285520054384772,-0.7111081513052744,-0.08593633238678823
12,-1.0,-0.826882688268827,1.0,-0.6255608429639701,-0.724826851358551,-0.28515916903302946
13,-0.1997199719971997,-1.0,0.4059075113605988,-1.0,-0.21976558337773042,-0.5467045284710805
14,0.9780978097809782,-1.0,0.7508687516706763,-0.846770904146839,-0.21976558337773042,-0.5467045284710805
15,0.9780978097809782,-1.0,0.7508687516706763,-0.846770904146839,0.7268247202983484,-0.8082498879091317
16,1.0,-0.33933393339333934,0.3378775728414863,-0.7853161114887831,1.0,-1.0
17,0.38693869386938695,0.08350835083508351,0.7039561614541567,-0.7853161114887831,1.0,-1.0
18,0.38693869386938695,0.08350835083508351,0.7039561614541567,0.04350781781101292,0.47349493873201914,-0.9983560005978179
19,0.11281128112811281,0.18801880188018805,0.45776530339481425,0.3235893949694086,0.14424613745338305,-0.9692123748318636
20,0.07170717071707171,0.1854185418541854,0.45776530339481425,0.3235893949694086,0.14424613745338305,-0.9692123748318636
21,0.07170717071707171,0.1854185418541854,0.6007751937984497,0.3246770904146839,0.14331379861481086,-0.9615901957853834
22,0.09320932093209322,0.13601360136013602,0.6296444800855386,0.2106050305914344,0.13771976558337773,-0.9677178299207891
23,0.15491549154915493,0.15801580158015804,0.6296444800855386,0.2106050305914344,0.13771976558337773,-0.9677178299207891
24,0.15491549154915493,0.15801580158015804,0.5956963378775729,0.26566961250849763,0.28036760788492276,-0.9762367359139141

0,-0.07780778077807782,0.08760876087608761,0.5230208678370322,0.1567688855646971,-0.14960866947621915,0.4284182305630027
1,-0.07780778077807782,0.07970797079707971,0.5246770453792647,0.14270755422587883,-0.1366646598434678,0.436461126005362
2,-0.08430843084308431,0.0784078407840784,0.524456221706967,0.1425579655946148,-0.14840457555689343,0.4447721179624665
3,-0.06450645064506451,0.0784078407840784,0.524456221706967,0.1425579655946148,-0.14840457555689343,0.4447721179624665
4,-0.06450645064506451,0.07820782078207822,0.5215855139670973,0.13956619296933434,-0.12040939193257075,0.45576407506702415
5,-0.027102710271027102,0.06630663066306632,0.5183835707187812,0.1217651458489155,-0.040186634557495486,0.48230563002680965
6,0.022602260226022602,0.06630663066306632,0.5183835707187812,0.1217651458489155,-0.040186634557495486,0.48230563002680965
7,0.022602260226022602,0.041804180418041806,0.49519708512752575,0.08571428571428573,0.027242624924744132,0.5536193029490617
8,-0.0371037103710371,-0.0089008900890089,0.5006072650988187,-0.0070306656694091255,-0.050120409391932574,0.7085790884718499
9,-0.12231223122312232,-0.0089008900890089,0.5006072650988187,-0.0070306656694091255,-0.050120409391932574,0.7085790884718499
10,-0.12231223122312232,-0.04450445044504451,0.5608921276360826,-0.08287210172026926,-0.24397953040337148,0.8793565683646113
11,-0.5431543154315432,-0.17361736173617362,0.7135916970299216,-0.17277486910994766,-0.6145394340758579,1.0
12,-1.0,-0.39683968396839686,0.7135916970299216,-0.17277486910994766,-0.6145394340758579,1.0
13,-1.0,-0.39683968396839686,0.863420558683891,-0.38100224382946896,-0.7695665261890429,0.8214477211796247
14,-1.0,-0.9992999299929993,1.0,-0.667763649962603,-0.770469596628537,0.4284182305630027
15,-0.056405640564056406,-0.9992999299929993,1.0,-0.667763649962603,-0.770469596628537,0.4284182305630027
16,-0.056405640564056406,-1.0,0.3380810422877333,-0.9905759162303666,0.2579771222155328,-0.04075067024128687
17,1.0,-0.9361936193619362,0.4486032902727173,-1.0,0.9462673088500902,-0.4428954423592493
18,0.924892489248925,-0.9361936193619362,0.4486032902727173,-1.0,0.9462673088500902,-0.4428954423592493
19,0.924892489248925,-0.06630663066306632,0.4548967649332009,-0.3489902767389678,1.0,-0.7190348525469169
20,0.33863386338633866,0.14431443144314432,0.4223252732692945,0.24397905759162303,0.6744431065623119,-0.7190348525469169
21,0.10561056105610563,0.14431443144314432,0.4223252732692945,0.24397905759162303,0.6744431065623119,-0.6737265415549598
22,0.10561056105610563,0.23612361236123613,0.4349122225902617,0.46596858638743455,0.19717037928958459,-0.6375335120643433
23,0.13401340134013404,0.1774177417741774,0.46295682897206586,0.46596858638743455,0.19717037928958459,-0.6375335120643433
24,0.18481848184818483,0.1774177417741774,0.46295682897206586,0.35527299925205685,0.30599036724864537,-0.6493297587131367

0,-0.07530753075307531,0.11001100110011001,0.6685464542506696,0.19228627123363967,-0.10852941176470587,0.5288647810925997
1,-0.07530753075307531,0.11001100110011001,0.6685464542506696,0.1817042606516291,-0.12705882352941178,0.5382926514270954
2,-0.06790679067906791,0.1104110411041104,0.665021852530664,0.183932052353105,-0.12088235294117648,0.5512075422962676
3,-0.045204520452045205,0.10671067106710672,0.6465529395178344,0.18226120857699807,-0.12088235294117648,0.5512075422962676
4,0.023802380238023804,0.10671067106710672,0.6465529395178344,0.18226120857699807,-0.0713235294117647,0.5651556244349735
5,0.023802380238023804,0.09310931093109312,0.6853235584378965,0.1610971874129769,0.06558823529411764,0.5970554048818286
6,0.10601060106010601,0.05680568056805681,0.6309037078810094,0.10609857978279032,0.06558823529411764,0.5970554048818286
7,0.002000200020002,0.05680568056805681,0.6309037078810094,0.10609857978279032,0.16838235294117646,0.6791941108097637
8,0.002000200020002,-0.06830683068306831,0.4307063301846891,-0.10776942355889725,-0.004264705882352941,0.7940074906367041
9,-0.41864186418641863,-0.10951095109510951,1.0,-0.10776942355889725,-0.004264705882352941,0.7940074906367041
