
,aX,aY,aZ,roll,pitch,yaw
0,-0.17217865666553017,-0.264026402640264,0.41424142414241427,-0.23414704607828976,-0.03973509933774834,0.9311196686768873
1,-0.09785202863961814,-0.297029702970297,0.4113411341134114,-0.2519139101545573,-0.033241175335948045,0.9304657414807819
2,-0.1517217865666553,-0.29062906290629065,0.4163416341634164,-0.2519139101545573,-0.033241175335948045,0.9304657414807819
3,-0.1517217865666553,-0.29062906290629065,0.4163416341634164,-0.25343059367326304,-0.03748472963415418,0.9302477657487467
4,-0.1459256733719741,-0.28822882288228824,0.39113911391139117,-0.26238624873609706,-0.038256284961100756,0.9271961055002543
5,-0.08319127173542448,-0.29412941294129413,0.3813381338133814,-0.27459193991044345,-0.02655436250241111,0.9271961055002543
6,0.03034435731333106,-0.29412941294129413,0.3813381338133814,-0.27459193991044345,-0.02655436250241111,0.9250163481799026
7,0.03034435731333106,-0.32893289328932895,0.4308430843084308,-0.2696085512061245,0.003536295248505112,0.9257429339533532
8,-0.09580634162973066,-0.4225422542254226,0.715971597159716,-0.22706918965766285,0.003536295248505112,0.9257429339533532
9,-1.0,-0.4225422542254226,0.715971597159716,-0.22706918965766285,-0.005465183565871536,0.9412918695051952
10,-1.0,-0.6615661566156616,1.0,-0.22880254225046942,-0.07522664437729056,0.9619269054711908
11,0.9798840777361064,-1.0,1.0,-0.31973133034811496,0.05503761332218865,0.9619269054711908
12,-0.1316058643027617,-1.0,1.0,-0.31973133034811496,0.05503761332218865,0.9584392937586282
13,-0.1316058643027617,-1.0,0.10841084108410841,-0.5085945399393327,0.11644055809168649,0.9722444234541888
14,0.1496760995567678,-0.5611561156115612,-0.8362836283628363,-0.9872165246280513,0.11644055809168649,0.9722444234541888
15,-0.3150357995226731,-0.5611561156115612,-0.8362836283628363,-0.9872165246280513,0.015752587925159135,0.9803821841168351
16,-0.3150357995226731,-0.0025002500250025004,-0.7516751675167517,-0.1661129568106312,-1.0,0.9952045338952263
17,-0.35663143539038533,0.33993399339934,-0.30913091309130913,1.0,-1.0,0.9952045338952263
18,-0.010228435049437436,0.33993399339934,-0.30913091309130913,1.0,-0.1082106346042564,1.0
19,-0.010228435049437436,0.4796479647964797,-0.048904890489048905,0.7098078867542973,0.04841509676589725,0.9890285548208967
20,0.023184452778724857,0.5119511951195119,-0.0215021502150215,0.6730463671818575,0.04841509676589725,0.9890285548208967
21,0.007159904534606206,0.5119511951195119,-0.0215021502150215,0.6730463671818575,0.1283353693821128,0.9744241807745405
22,0.007159904534606206,0.510951095109511,-0.14061406140614063,0.7576195291058789,0.019095994341927602,0.9654871757610985
23,0.11387657688373679,0.48624862486248627,-0.11661166116611663,0.7458471760797342,0.019095994341927602,0.9654871757610985
24,0.11387657688373679,0.48624862486248627,-0.11661166116611663,0.7458471760797342,0.1100752266443773,0.9598924653055294

0,-0.24356333676622038,-0.13101310131013102,0.46154615461546156,-0.09863238167265395,-0.08407219759341356,0.9522769554315297
1,-0.33676622039134907,-0.13101310131013102,0.46154615461546156,-0.09863238167265395,-0.08407219759341356,0.9468575588449406
2,-0.33676622039134907,-0.15861586158615862,0.47734773477347736,-0.11621604588138906,-0.11668777707409754,0.9445927363908437
3,-0.4021627188465499,-0.20302030203020305,0.4831483148314832,-0.13720299993697613,-0.11668777707409754,0.9445927363908437
4,-0.3223480947476828,-0.20302030203020305,0.4831483148314832,-0.13720299993697613,-0.11415452818239392,0.9445118498746259
5,-0.3223480947476828,-0.20602060206020603,0.43224322432243223,-0.1573706434738766,-0.1162127929069031,0.9464531262638519
6,-0.2409886714727085,-0.22592259225922592,0.42564256425642566,-0.17426104493603076,-0.09262191260291323,0.9509827711720455
7,-0.06127703398558187,-0.22592259225922592,0.42564256425642566,-0.17426104493603076,-0.09262191260291323,0.9509827711720455
8,-0.06127703398558187,-0.25922592259225924,0.4170417041704171,-0.1956261423079347,-0.024540848638378722,0.9615789047965704
9,0.049433573635427386,-0.3408340834083408,0.5706570657065707,-0.19650847671267413,0.006016466117796074,0.9615789047965704
10,-1.0,-0.3408340834083408,0.5706570657065707,-0.19650847671267413,0.006016466117796074,0.9752487260373696
11,-1.0,-0.549054905490549,1.0,-0.17905086027604464,-0.15357821405953134,0.9966836528350724
12,-0.3069001029866117,-1.0,1.0,-0.2610449360307557,0.01836605446485117,1.0
13,0.0345005149330587,-1.0,1.0,-0.2610449360307557,0.01836605446485117,1.0
14,0.0345005149330587,-1.0,0.6018601860186019,-0.33453078716833684,0.02834072197593414,0.9909407101836125
15,-0.01905252317198764,-0.8582858285828583,-0.39683968396839686,-0.6694397176529905,-0.00015832805573147562,0.978322413653644
16,0.5849639546858908,-0.8582858285828583,-0.39683968396839686,-0.6694397176529905,-0.00015832805573147562,0.978322413653644
17,0.5849639546858908,-0.23572357235723573,-0.9317931793179318,-1.0,0.09183027232425586,0.9646525924128448
18,0.5998970133882595,0.17711771177117713,-0.6242624262426243,0.6425285183084389,1.0,0.9646525924128448
19,0.06539649845520082,0.17711771177117713,-0.6242624262426243,0.6425285183084389,1.0,0.9603656070533043
20,0.06539649845520082,0.41144114411441146,-0.06090609060906091,0.6870864057477785,0.38742875237492086,0.9578581250505541
21,-0.03141091658084449,0.48654865486548654,-0.1636163616361636,0.6581584420495369,0.05842305256491451,0.9578581250505541
22,0.05046343975283213,0.48654865486548654,-0.1636163616361636,0.6581584420495369,0.05842305256491451,0.954703550918062
23,0.05046343975283213,0.4535453545354536,-0.1999199919991999,0.7173378710531292,0.02422419252691577,0.9512254307206989
24,0.11431513903192585,0.4820482048204821,-0.25162516251625167,0.738765992311086,0.08233058898036733,0.9530049340774892

0,-0.05827360548457463,-0.1706170617061706,0.4673467346734673,-0.13393273393273392,-0.028249885163068443,0.9199866365990145
1,-0.0816453723901527,-0.16921692169216923,0.4604460446044605,-0.133999333999334,-0.037666513550757924,0.9195690303182159
2,-0.0825802430663758,-0.16921692169216923,0.4604460446044605,-0.133999333999334,-0.037666513550757924,0.9195690303182159
3,-0.0825802430663758,-0.16851685168516853,0.4402440244024403,-0.1387945387945388,-0.03536977491961415,0.9183162114758205
4,-0.13867248363976314,-0.16781678167816783,0.4081408140814082,-0.14891774891774892,-0.06258612769866789,0.9183162114758205
5,-0.0779058896852602,-0.16781678167816783,0.4081408140814082,-0.14891774891774892,-0.06258612769866789,0.9167293076087865
6,-0.0779058896852602,-0.1865186518651865,0.3592359235923593,-0.17855477855477853,-0.04834634818557648,0.9139731061555166
7,-0.2468058585229043,-0.25162516251625167,0.35243524352435246,-0.2303030303030303,-0.04834634818557648,0.9139731061555166
8,0.046431910252415075,-0.25162516251625167,0.35243524352435246,-0.2303030303030303,-0.11449242076251724,0.9180656477073414
9,0.046431910252415075,-0.34793479347934797,0.5264526452645265,-0.22097902097902097,0.021244832338079927,0.9238286143823603
10,-0.013088189467123713,-0.44244424442444247,0.7336733673367337,-0.21385281385281385,0.021244832338079927,0.9238286143823603
11,-0.017450919289498285,-0.44244424442444247,0.7336733673367337,-0.21385281385281385,0.011368856224161691,0.9323477825106489
